MethodShortName,Results,Precision(Normal),Precision(Attack),Re-Call(Normal),Re-Call(Attack),F1-Score(Normal),F1-Score(Attack),Support(Normal),Support(Attack),Support,Accuracy,Training Time,Test Time-All Packets,Test Time-Per Packet
CSVM_LK_FF,C-SVM with linear kernel_FF,0.8571,0.756,0.0001,1,0.0002,0.861,71279,220794,292073,0.756,5732.088,2780.16,0.009519
CSVM_LK_LassoReg._IC,C-SVM with linear kernel_Lasso Regression_IP,0.9467,0.884,0.598,0.9891,0.733,0.9336,71279,220794,292073,0.8937,2294.578,1217.011,0.004167
CSVM_LK_LassoReg._BS,C-SVM with linear kernel_Lasso Regression_BS,0,0.756,0,1,0,0.861,71279,220794,292073,0.756,2851.846,1351.608,0.004628
CSVM_LK_LassoReg._FS,C-SVM with linear kernel_Lasso Regression_FS,0,0.756,0,1,0,0.861,71279,220794,292073,0.756,2869.21,1379.817,0.004724
CSVM_LK_LassoReg._CC,C-SVM with linear kernel_Lasso Regression_CC,0.8571,0.756,0.0001,1,0.0002,0.861,71279,220794,292073,0.756,5035.689,2286.091,0.007827
CSVM_LK_LinearReg._IC,C-SVM with linear kernel_Linear Regression_IP,0.9965,0.9709,0.9073,0.999,0.9498,0.9847,71279,220794,292073,0.9766,2792.567,1341.386,0.004593
CSVM_LK_LinearReg._BS,C-SVM with linear kernel_Linear Regression_BS,0.0912,0.7357,0.0438,0.8592,0.0592,0.7927,71279,220794,292073,0.6602,2802.653,1430.176,0.004897
CSVM_LK_LinearReg._FS,C-SVM with linear kernel_Linear Regression_FS,0.623,0.9407,0.8365,0.8366,0.7141,0.8856,71279,220794,292073,0.8365,2809.65,1378.956,0.004721
CSVM_LK_LinearReg._CC,C-SVM with linear kernel_Linear Regression_CC,0.8571,0.756,0.0001,1,0.0002,0.861,71279,220794,292073,0.756,5003.958,2322.99,0.007953
CSVM_LK_RidgeReg._IC,C-SVM with linear kernel_Ridge Regression_IP,0.9965,0.9709,0.9073,0.999,0.9498,0.9847,71279,220794,292073,0.9766,2758.36,1337.643,0.00458
CSVM_LK_RidgeReg._BS,C-SVM with linear kernel_Ridge Regression_BS,0.0912,0.7357,0.0438,0.8592,0.0592,0.7927,71279,220794,292073,0.6602,2798.392,1406.635,0.004816
CSVM_LK_RidgeReg._FS,C-SVM with linear kernel_Ridge Regression_FS,0.623,0.9407,0.8365,0.8366,0.7141,0.8856,71279,220794,292073,0.8365,2761.085,1409.73,0.004827
CSVM_LK_RidgeReg._CC,C-SVM with linear kernel_Ridge Regression_CC,0.8571,0.756,0.0001,1,0.0002,0.861,71279,220794,292073,0.756,4947.591,2253.934,0.007717
CSVM_LK_LogisticReg._IC,C-SVM with linear kernel_Logistic Regression_IP,0.868,0.8622,0.5176,0.9746,0.6485,0.915,71279,220794,292073,0.8631,2582.618,1285.41,0.004401
CSVM_LK_LogisticReg._BS,C-SVM with linear kernel_Logistic Regression_BS,0.8309,0.8916,0.6392,0.958,0.7226,0.9236,71279,220794,292073,0.8802,2765.226,1359.571,0.004655
CSVM_LK_LogisticReg._FS,C-SVM with linear kernel_Logistic Regression_FS,0.1865,0.5473,0.5988,0.1566,0.2844,0.2435,71279,220794,292073,0.2645,2787.545,1333.22,0.004565
CSVM_LK_LogisticReg._CC,C-SVM with linear kernel_Logistic Regression_CC,0.8571,0.756,0.0001,1,0.0002,0.861,71279,220794,292073,0.756,5064.342,2407.042,0.008241
LSVM_FF,Linear SVM_FF,0.9909,0.9912,0.9725,0.9971,0.9816,0.9941,71279,220794,292073,0.9911,15428.143,7.883,0.000027
LSVM_LassoReg._IC,Linear SVM_Lasso Regression_IP,0.9819,0.9789,0.9336,0.9945,0.9571,0.9866,71279,220794,292073,0.9796,7246.984,2.007,0.000007
LSVM_LassoReg._BS,Linear SVM_Lasso Regression_BS,0.9104,0.9877,0.9627,0.9694,0.9358,0.9785,71279,220794,292073,0.9678,6044.763,2.69,0.000009
LSVM_LassoReg._FS,Linear SVM_Lasso Regression_FS,0.8731,0.9945,0.9835,0.9538,0.925,0.9737,71279,220794,292073,0.9611,7687.24,3.338,0.000011
LSVM_LassoReg._CC,Linear SVM_Lasso Regression_CC,0.9742,0.9929,0.978,0.9916,0.9761,0.9923,71279,220794,292073,0.9883,14219.454,6.176,0.000021
LSVM_LinearReg._IC,Linear SVM_Linear Regression_IP,0.994,0.9835,0.9482,0.9981,0.9705,0.9908,71279,220794,292073,0.986,5057.794,2.604,0.000009
LSVM_LinearReg._BS,Linear SVM_Linear Regression_BS,0.7486,0.9906,0.9736,0.8945,0.8464,0.9401,71279,220794,292073,0.9138,8377.639,2.734,0.000009
LSVM_LinearReg._FS,Linear SVM_Linear Regression_FS,0.9809,0.9891,0.9662,0.9939,0.9735,0.9915,71279,220794,292073,0.9872,8459.438,2.733,0.000009
LSVM_LinearReg._CC,Linear SVM_Linear Regression_CC,0.9742,0.9929,0.978,0.9916,0.9761,0.9923,71279,220794,292073,0.9883,13671.669,6.25,0.000021
LSVM_RidgeReg._IC,Linear SVM_Ridge Regression_IP,0.994,0.9835,0.9482,0.9981,0.9705,0.9908,71279,220794,292073,0.986,4872.614,2.713,0.000009
LSVM_RidgeReg._BS,Linear SVM_Ridge Regression_BS,0.7486,0.9906,0.9736,0.8945,0.8464,0.9401,71279,220794,292073,0.9138,8394.925,2.789,0.00001
LSVM_RidgeReg._FS,Linear SVM_Ridge Regression_FS,0.9809,0.9891,0.9662,0.9939,0.9735,0.9915,71279,220794,292073,0.9872,8431.206,2.69,0.000009
LSVM_RidgeReg._CC,Linear SVM_Ridge Regression_CC,0.9742,0.9929,0.978,0.9916,0.9761,0.9923,71279,220794,292073,0.9883,13326.753,5.594,0.000019
LSVM_LogisticReg.IC,Linear SVM_Logistic Regression_IP,0.9792,0.9793,0.9349,0.9936,0.9565,0.9864,71279,220794,292073,0.9793,8164.53,2.318,0.000008
LSVM_LogisticReg.BS,Linear SVM_Logistic Regression_BS,0.983,0.9884,0.9638,0.9946,0.9733,0.9915,71279,220794,292073,0.9871,7069.11,2.724,0.000009
LSVM_LogisticReg.FS,Linear SVM_Logistic Regression_FS,0.9988,0.9332,0.7785,0.9997,0.875,0.9653,71279,220794,292073,0.9457,7980.973,2.795,0.00001
LSVM_LogisticReg.CC,Linear SVM_Logistic Regression_CC,0.9742,0.9929,0.978,0.9916,0.9761,0.9923,71279,220794,292073,0.9883,13422.874,6.1,0.000021
SGDC_FF,SGDC_FF,0.366,0.7989,0.3905,0.7816,0.3779,0.7902,71279,220794,292073,0.6862,2077.163,7.417,0.000025
SGDC_LassoReg._IC,SGDC_Lasso Regression_IP,0.9774,0.9816,0.9423,0.993,0.9595,0.9872,71279,220794,292073,0.9806,5083.142,1.909,0.000007
SGDC_LassoReg._BS,SGDC_Lasso Regression_BS,0.5406,0.925,0.8043,0.7794,0.6466,0.846,71279,220794,292073,0.7855,1579.01,2.631,0.000009
SGDC_LassoReg._FS,SGDC_Lasso Regression_FS,0.9367,0.9243,0.7504,0.9836,0.8333,0.953,71279,220794,292073,0.9267,1227.525,2.809,0.00001
SGDC_LassoReg._CC,SGDC_Lasso Regression_CC,0.366,0.7989,0.3905,0.7816,0.3779,0.7902,71279,220794,292073,0.6862,1849.742,5.701,0.00002
SGDC_LinearReg._IC,SGDC_Linear Regression_IP,0.9945,0.9805,0.9384,0.9983,0.9656,0.9893,71279,220794,292073,0.9837,425.125,2.628,0.000009
SGDC_LinearReg._BS,SGDC_Linear Regression_BS,0.9791,0.9908,0.9715,0.9933,0.9753,0.9921,71279,220794,292073,0.988,4147.525,2.65,0.000009
SGDC_LinearReg._FS,SGDC_Linear Regression_FS,0.978,0.9943,0.9823,0.9929,0.9801,0.9936,71279,220794,292073,0.9903,3011.786,2.701,0.000009
SGDC_LinearReg._CC,SGDC_Linear Regression_CC,0.366,0.7989,0.3905,0.7816,0.3779,0.7902,71279,220794,292073,0.6862,1851.747,5.296,0.000018
SGDC_RidgeReg._IC,SGDC_Ridge Regression_IP,0.9945,0.9805,0.9384,0.9983,0.9656,0.9893,71279,220794,292073,0.9837,435.824,2.65,0.000009
SGDC_RidgeReg._BS,SGDC_Ridge Regression_BS,0.9791,0.9908,0.9715,0.9933,0.9753,0.9921,71279,220794,292073,0.988,3752.553,2.805,0.00001
SGDC_RidgeReg._FS,SGDC_Ridge Regression_FS,0.978,0.9943,0.9823,0.9929,0.9801,0.9936,71279,220794,292073,0.9903,3000.203,2.604,0.000009
SGDC_RidgeReg._CC,SGDC_Ridge Regression_CC,0.366,0.7989,0.3905,0.7816,0.3779,0.7902,71279,220794,292073,0.6862,1840.347,5.848,0.00002
SGDC_LogisticReg.IC,SGDC_Logistic Regression_IP,0.9704,0.9883,0.9636,0.9905,0.967,0.9894,71279,220794,292073,0.9839,4865.222,2.168,0.000007
SGDC_LogisticReg.BS,SGDC_Logistic Regression_BS,0.971,0.9829,0.9465,0.9909,0.9586,0.9869,71279,220794,292073,0.9801,6026.146,2.753,0.000009
SGDC_LogisticReg.FS,SGDC_Logistic Regression_FS,0.9814,0.9767,0.9264,0.9943,0.9531,0.9854,71279,220794,292073,0.9778,6075.809,2.879,0.00001
SGDC_LogisticReg.CC,SGDC_Logistic Regression_CC,0.366,0.7989,0.3905,0.7816,0.3779,0.7902,71279,220794,292073,0.6862,1873.834,5.774,0.00002
